title,widest_opening,rating,budget,gross_adj,season
Dragnet (1987),1343,PG-13,NA,132240797.7,Summer
The Witches of Eastwick (1987),1337,R,NA,146940218.7,Summer
Predator (1987),1636,R,1.50E+07,137651480.2,Summer
The Untouchables (1987),1501,R,NA,175753654.9,Summer
Beverly Hills Cop II (1987),2326,R,NA,354097691.7,Spring
The Secret of My Success (1987),1346,PG-13,NA,154381808.1,Spring
Police Academy 4: Citizens on Patrol (1987),1750,PG,NA,64663094.74,Spring
Blind Date (1987),1390,PG-13,NA,90610908.48,Spring
Lethal Weapon (1987),NA,R,NA,NA,Spring
A Nightmare on Elm Street 3: Dream Warriors (1987),1383,R,NA,103219163.7,Winter
Platoon (1986),NA,R,6.00E+06,336431372.1,Winter
Critical Condition (1987),1343,R,NA,46641156.78,Winter
Rain Man (1988),1590,R,2.50E+07,378870357.5,Winter
Twins (1988),1659,PG,1.50E+07,245392913.8,Winter
The Naked Gun: From the Files of Police Squad! (1988),1969,PG-13,NA,172650402.6,Winter
Scrooged (1988),1897,PG-13,NA,132253116.2,Fall
The Land Before Time (1988),1414,G,NA,105429815.7,Fall
Child's Play (1988),1490,R,NA,72879465.41,Fall
They Live (1988),NA,R,NA,NA,Fall
Halloween 4: The Return of Michael Myers (1988),1692,R,5.00E+06,38952919.85,Fall
The Accused (1988),930,R,NA,70322541.41,Fall
Alien Nation (1988),1436,R,NA,55279403.75,Fall
Gorillas in the Mist (1988),NA,PG-13,NA,54192582.92,Fall
Dead Ringers (1988),1048,R,NA,17622130.68,Fall
A Fish Called Wanda (1988),NA,R,NA,NA,Summer
Moon Over Parador (1988),1145,PG-13,NA,25088145.51,Fall
A Nightmare on Elm Street 4: The Dream Master (1988),1767,R,NA,108229389.3,Summer
Young Guns (1988),1416,R,NA,100099907.4,Summer
Cocktail (1988),1462,R,NA,171481023,Summer
Who Framed Roger Rabbit (1988),1598,PG,7.00E+07,342977093.4,Summer
The Dead Pool (1988),1831,R,NA,83092138.19,Summer
Coming to America (1988),2064,R,NA,280937282.7,Summer
Red Heat (1988),1892,R,NA,76715761.19,Summer
Crocodile Dundee II (1988),2837,PG,NA,239622616.1,Spring
Willow (1988),1209,PG,NA,125547801.9,Spring
Friday the 13th Part VII (1988),1796,R,NA,42024746.72,Spring
Colors (1988),NA,R,NA,102192399.9,Spring
Beetlejuice (1988),NA,PG,NA,NA,Spring
Biloxi Blues (1988),1330,PG-13,NA,94670323.6,Spring
Police Academy 5: Assignment: Miami Beach (1988),1700,PG,NA,42770910.64,Spring
"Good Morning, Vietnam  (1987)",NA,R,NA,285560243.9,Winter
The War of the Roses (1989),1559,R,NA,197195415.5,Winter
Christmas Vacation (1989),1950,PG-13,NA,161861191.2,Winter
Back to the Future Part II (1989),NA,PG,4.00E+07,NA,Fall
Harlem Nights (1989),2180,R,NA,138134125.6,Fall
Look Who's Talking (1989),1651,PG-13,NA,317934560.5,Fall
Black Rain (1989),1760,R,NA,104879248.2,Fall
Sea of Love (1989),1439,R,NA,132929302.8,Fall
Uncle Buck (1989),1835,PG,NA,151509931.3,Summer
The Abyss (1989),NA,PG-13,NA,NA,Summer
Parenthood (1989),1399,PG-13,NA,227060692.3,Summer
Turner & Hooch (1989),1888,PG,NA,161317389,Summer
Lethal Weapon 2 (1989),1830,R,NA,334196074,Summer
Batman (1989),2201,PG-13,3.50E+07,570440446,Summer
Ghostbusters II (1989),2410,PG,NA,255309216.5,Summer
Star Trek V: The Final Frontier (1989),2202,PG,NA,118491824.1,Summer
Indiana Jones and the Last Crusade (1989),NA,PG-13,4.80E+07,NA,Spring
"See No Evil, Hear No Evil (1989)",1686,R,NA,106460950.3,Spring
Pet Sematary (1989),1585,R,NA,130428185.8,Spring
Major League (1989),1615,R,NA,113015693.6,Spring
Fletch Lives (1989),1512,PG,NA,79775856.32,Spring
Lean on Me (1989),1107,PG-13,NA,72412380.49,Spring
The 'Burbs (1989),1956,PG,NA,83069006.78,Winter
The Fly II (1989),1528,R,NA,45438818.95,Winter
Home Alone (1990),2173,PG,1.80E+07,608678203.2,Fall
Child's Play 2 (1990),2017,R,NA,60709092.45,Fall
Jacob's Ladder (1990),1264,R,NA,55633770.1,Fall
Graveyard Shift (1990),1603,R,NA,24671831.66,Fall
Marked for Death (1990),1974,R,NA,98075652,Fall
Pacific Heights (1990),1291,R,NA,62584260.89,Fall
Goodfellas (1990),NA,R,NA,NA,Fall
Postcards from the Edge (1990),1323,R,NA,83223438.07,Fall
Ghost (1990),NA,PG-13,2.20E+07,NA,Summer
Darkman (1990),1833,R,NA,72162010.17,Summer
Flatliners (1990),1483,R,NA,130973588.1,Summer
Presumed Innocent (1990),1451,R,NA,183827830.7,Summer
Die Hard 2: Die Harder (1990),2507,R,7.00E+07,250364995.9,Summer
Days of Thunder (1990),2307,PG-13,NA,176090615.7,Summer
Dick Tracy (1990),2332,PG,4.70E+07,220965938.8,Summer
Another 48 HRS. (1990),2721,R,NA,172146325.2,Summer
Total Recall (1990),2131,R,6.50E+07,254352344.7,Summer
Back to the Future Part III (1990),2070,PG,4.00E+07,186861825.7,Spring
Bird on a Wire (1990),2008,PG-13,NA,151184843.5,Spring
Pretty Woman (1990),1811,R,1.40E+07,380009568.5,Spring
Teenage Mutant Ninja Turtles (1990),NA,PG,13500000,NA,Spring
The Hunt for Red October (1990),1817,PG,3.00E+07,259889814,Spring
Driving Miss Daisy (1989),NA,PG,NA,241915767.5,Winter
Hard to Kill (1990),1508,R,NA,100986182.3,Winter
Born on the Fourth of July (1989),NA,R,NA,158870352.4,Winter
Hook (1991),2254,PG,7.00E+07,256078374.2,Winter
Star Trek VI: The Undiscovered Country (1991),2147,PG,NA,160273124.5,Winter
The Addams Family (1991),2411,PG-13,3.00E+07,242911367.8,Fall
Cape Fear (1991),NA,R,NA,NA,Fall
Curly Sue (1991),1634,PG,NA,72104211.43,Fall
The People Under the Stairs (1991),1850,R,6.00E+06,51800339.08,Fall
House Party 2 (1991),1185,R,5.00E+06,41601455.67,Fall
Other People's Money (1991),1249,R,NA,54963332.76,Fall
The Fisher King (1991),NA,R,NA,89662321.59,Fall
Freddy's Dead: The Final Nightmare (1991),1862,R,1.10E+07,74631120.51,Fall
Dead Again (1991),NA,R,NA,81360471.21,Summer
Hot Shots! (1991),1999,PG-13,2.60E+07,148670600.8,Summer
Terminator 2: Judgment Day (1991),2495,R,1.02E+08,440615011.3,Summer
The Naked Gun 2 1/2: The Smell of Fear (1991),2378,PG-13,2.30E+07,186043468.7,Summer
Robin Hood: Prince of Thieves (1991),2369,PG-13,4.80E+07,354180549,Summer
City Slickers (1991),2171,PG-13,2.70E+07,265449989.8,Summer
Backdraft (1991),1983,R,NA,166649869.6,Spring
What About Bob? (1991),1805,PG,NA,136343833.6,Spring
F/X 2 (1991),1502,PG-13,NA,45118837.68,Spring
Oscar (1991),1391,PG,NA,50427570.35,Spring
Out for Justice (1991),2010,R,1.40E+07,84906218.67,Spring
Teenage Mutant Ninja Turtles II (1991),2868,PG,2.50E+07,168336789.8,Spring
The Silence of the Lambs (1991),NA,R,1.90E+07,NA,Winter
Sleeping with the Enemy (1991),1545,R,1.90E+07,217436350.4,Winter
Aladdin (1992),NA,G,2.80E+07,471885656.2,Fall
A Few Good Men (1992),2201,R,4.00E+07,306861446.7,Winter
Home Alone 2: Lost in New York (1992),2461,PG,NA,376868795,Fall
